ID,Name,Sex,Age,Team,NOC,Year,Season,Sport,Event,Medal
25403,Yves Daniel Darricau,M,19,Lebanon,LIB,1972,Summer,Fencing,"Men's Foil, Team",N
92912,Pirjo Elisa Peltola,F,30,Finland,FIN,1992,Summer,Shooting,"Women's Small-Bore Rifle, Three Positions, 50 metres",N
54385,Jens Berendt Jensen (-Berendt),M,20,Denmark,DEN,1960,Summer,Rowing,Men's Coxed Pairs,N
125129,Zhivko Atanasov Vangelov,M,28,Bulgaria,BUL,1988,Summer,Wrestling,"Men's Featherweight, Greco-Roman",Silver
30384,"Alyson ""Aly"" Dudek",F,19,USA,USA,2010,Winter,Short Track Speed Skating,Women's 500 metres,N
87332,Daniel Nez Aguiar,M,21,Cuba,CUB,1980,Summer,Weightlifting,Men's Bantamweight,Gold
98054,Urka Rabi,F,20,Slovenia,SLO,2006,Winter,Alpine Skiing,Women's Super G,N
38944,Maria Gsienica Daniel-Szatkowska,F,27,Poland,POL,1964,Winter,Alpine Skiing,Women's Slalom,N
34826,Jaime Fernndez Serrano,M,23,Spain,ESP,1992,Summer,Swimming,Men's 4 x 100 metres Medley Relay,N
86543,Mauno Aulis Nissinen,M,25,Finland,FIN,1972,Summer,Gymnastics,Men's Horse Vault,N
61316,Lourdes Mendiola Klitzkie,F,48,Guam,GUM,1988,Summer,Athletics,Women's Marathon,N
88074,Brigitte Oertli,F,25,Switzerland,SUI,1988,Winter,Alpine Skiing,Women's Downhill,Silver
95752,"Konstantinos ""Kostas"" Pokhanis",M,27,Cyprus,CYP,2000,Summer,Athletics,Men's 400 metres Hurdles,N
10054,"Serge Bengono, II",M,23,Cameroon,CMR,2000,Summer,Athletics,Men's 100 metres,N
39040,Khadzhimurat Soltanovich Gatsalov,M,21,Russia,RUS,2004,Summer,Wrestling,"Men's Heavyweight, Freestyle",Gold
3347,Eloise Michelle Amberger,F,21,Australia,AUS,2008,Summer,Synchronized Swimming,Women's Team,N
57291,Pavel Kantorek,M,26,Czech Republic,TCH,1956,Summer,Athletics,"Men's 10,000 metres",N
86831,Eric Noordegraaf,M,24,Netherlands,NED,1984,Summer,Water Polo,Men's Water Polo,N
27196,Charles Delaporte,M,19,France,FRA,1900,Summer,Rowing,Men's Single Sculls,N
70168,Erik Aleksander Lindh,M,47,Finland,FIN,1912,Summer,Sailing,Mixed 10 metres,Silver
65837,"Franois Jacques Marie Grard ""Frans"" Lafortune",M,23,Belgium,BEL,1956,Summer,Shooting,"Men's Small-Bore Rifle, Prone, 50 metres",N
89979,Mihoko Otsue,F,21,Japan,JPN,1968,Winter,Alpine Skiing,Women's Slalom,N
112775,Jani Markus Soininen,M,25,Finland,FIN,1998,Winter,Ski Jumping,"Men's Normal Hill, Individual",Gold
97169,Heorhiy Yakovych Prokopenko,M,23,Russia,URS,1960,Summer,Swimming,Men's 200 metres Breaststroke,N
29714,Colin Douglas-Smith,M,30,Australia,AUS,1948,Summer,Rowing,Men's Coxed Fours,N
24087,Tams Csath,M,24,Hungary,HUN,1980,Summer,Cycling,Men's 100 kilometres Team Time Trial,N
24622,"Gay Kristine D'Asaro (Jacobsen- , -MacLellan)",F,21,USA,USA,1976,Summer,Fencing,"Women's Foil, Team",N
77440,"Donald Joseph ""Don"" McDermott",M,22,USA,USA,1952,Winter,Speed Skating,Men's 500 metres,Silver
124977,Koosje van Voorn (-ten Thije),F,17,Netherlands,NED,1952,Summer,Swimming,Women's 4 x 100 metres Freestyle Relay,Silver
44536,Ferenc Habony,M,19,Hungary,HUN,1964,Summer,Cycling,"Men's 1,000 metres Time Trial",N
76804,Jindich Maudr,M,26,Czech Republic,TCH,1932,Summer,Wrestling,"Men's Featherweight, Greco-Roman",N
47862,Bla Herczeg,M,21,Hungary,HUN,1968,Summer,Gymnastics,Men's Pommelled Horse,N
39731,Michaela Gerg-Leitner,F,22,Germany,FRG,1988,Winter,Alpine Skiing,Women's Giant Slalom,N
131636,Jeremy Lee Wotherspoon,M,21,Canada,CAN,1998,Winter,Speed Skating,Men's 500 metres,Silver
122573,Eric Tulla,M,35,Puerto Rico,PUR,1984,Summer,Sailing,Mixed Three Person Keelboat,N
27592,Angel Denis Daz,M,23,Cuba,CUB,2000,Summer,Volleyball,Men's Volleyball,N
3856,Rose Anderson,F,24,UK,GBR,2012,Summer,Basketball,Women's Basketball,N
95597,"Edward Charles ""Ed"" Podivinsky",M,23,Canada,CAN,1994,Winter,Alpine Skiing,Men's Super G,N
93156,Kevin Percy,M,25,New Zealand,NZL,1960,Summer,Hockey,Men's Hockey,N
73205,Alberto E. Madero,M,24,Argentina,ARG,1948,Summer,Rowing,Men's Coxless Fours,N
18790,Marc-Kanyan Case,M,26,France,FRA,1968,Summer,Football,Men's Football,N
948,Hammed Adio,M,21,Nigeria,NGR,1980,Summer,Athletics,Men's 4 x 100 metres Relay,N
81254,Tams Molnr,M,25,Hungary,HUN,2000,Summer,Water Polo,Men's Water Polo,Gold
1515,Saiyidah Aisyah Mohamed Rafa'ee,F,28,NA,SGP,2016,Summer,Rowing,Women's Single Sculls,N
9967,Pavel Benc,M,28,Czech Republic,TCH,1992,Winter,Cross Country Skiing,Men's 4 x 10 kilometres Relay,N
66939,Franoise Lasak (-Laurent),F,24,France,FRA,1992,Summer,Canoeing,"Women's Kayak Fours, 500 metres",N
54681,Poul Erik Ravn Jessen,M,22,Denmark,DEN,1948,Summer,Gymnastics,Men's Parallel Bars,N
25166,Ivo Daneu,M,27,Serbia,YUG,1964,Summer,Basketball,Men's Basketball,N
124229,Alan van Coller,M,36,South Africa,RSA,2004,Summer,Canoeing,"Men's Kayak Singles, 500 metres",N
31711,Ole Christian Eidhammer,M,22,Norway,NOR,1988,Winter,Ski Jumping,"Men's Normal Hill, Individual",N
11317,John Peter Bicourt,M,30,UK,GBR,1976,Summer,Athletics,"Men's 3,000 metres Steeplechase",N
76428,Flix Mathieu,M,30,France,FRA,1968,Winter,Cross Country Skiing,Men's 15 kilometres,N
104343,Moussa Said,M,21,Ethiopia,ETH,1960,Summer,Athletics,Men's 400 metres,N
83245,Mun Yu-Ra,F,22,South Korea,KOR,2012,Summer,Weightlifting,Women's Light-Heavyweight,N
11697,Franz Birkfellner,M,23,Austria,AUT,2000,Summer,Judo,Men's Half-Heavyweight,N
29245,Zardo Domenios,M,16,Philippines,PHI,2000,Summer,Diving,Men's Springboard,N
34914,Lyndon Ferns,M,24,South Africa,RSA,2008,Summer,Swimming,Men's 100 metres Butterfly,N
96743,Robert Pranz,M,30,Austria,AUT,1936,Summer,Gymnastics,Men's Rings,N
121282,Jos Louis Torres,M,20,USA,USA,1956,Summer,Boxing,Men's Light-Middleweight,Silver
1327,Koku Mensah Ahiaku,M,29,Togo,TOG,1992,Summer,Cycling,"Men's Road Race, Individual",N
92223,Eva Paulusov-Beneov,F,18,Czech Republic,TCH,1956,Winter,Cross Country Skiing,Women's 3 x 5 kilometres Relay,N
65134,Naoki Kurita,M,24,Japan,JPN,1996,Summer,Shooting,"Men's Small-Bore Rifle, Prone, 50 metres",N
30174,Tatjana Dschandschgawa,F,36,Austria,AUT,2000,Summer,Handball,Women's Handball,N
35722,Erika Flander,F,15,Hungary,HUN,1980,Summer,Gymnastics,Women's Floor Exercise,N
43705,Edgardo Guilbe Alomar,M,22,Puerto Rico,PUR,1988,Summer,Athletics,Men's 200 metres,N
27569,Deng Linlin,F,20,China,CHN,2012,Summer,Gymnastics,Women's Balance Beam,Gold
72048,Lluis Lucio Prez,M,42,Spain,ESP,2000,Summer,Equestrianism,"Mixed Dressage, Team",N
90347,Neriman zsoy,F,24,Turkey,TUR,2012,Summer,Volleyball,Women's Volleyball,N
67770,Mark Leduc,M,28,Canada,CAN,1992,Summer,Boxing,Men's Light-Welterweight,Silver
59799,Kim Cheol-Min,M,21,South Korea,KOR,2014,Winter,Speed Skating,"Men's 5,000 metres",N
6038,"Thomas ""Tom"" Auth",M,27,USA,USA,1996,Summer,Rowing,Men's Lightweight Double Sculls,N
86601,Richard Nizielski,M,29,Australia,AUS,1998,Winter,Short Track Speed Skating,"Men's 5,000 metres Relay",N
24888,Marianne Dahlmo (-Breivoll),F,23,Norway,NOR,1988,Winter,Cross Country Skiing,Women's 4 x 5 kilometres Relay,Silver
34849,Leonel Fernndez Garin,M,34,Guatemala,GUA,1968,Summer,Shooting,"Mixed Small-Bore Rifle, Three Positions, 50 metres",N
29138,Ansco Jan Heeble Dokkum,M,32,Netherlands,NED,1936,Summer,Sailing,Mixed 6 metres,N
21800,"Geoffrey ""Geoff"" Clark",M,19,Australia,AUS,1988,Summer,Water Polo,Men's Water Polo,N
112917,Khaled Soliman,M,29,Egypt,EGY,1984,Summer,Fencing,"Men's Foil, Team",N
106,Agostino Abbagnale,M,22,Italy,ITA,1988,Summer,Rowing,Men's Quadruple Sculls,Gold
124217,Rodney Van Buizen,M,23,Australia,AUS,2004,Summer,Baseball,Men's Baseball,Silver
32805,Vedat Erbay,M,21,Turkey,TUR,1988,Summer,Archery,Men's Individual,N
124656,Robin Arthur Anthony van Helden,M,27,Netherlands,NED,1992,Summer,Athletics,"Men's 1,500 metres",N
69320,Li Chiu-Ching,F,25,Taiwan,TPE,2008,Summer,Softball,Women's Softball,N
126831,Kalevi Viskari,M,24,Finland,FIN,1952,Summer,Gymnastics,Men's Horse Vault,N
55839,Sven Robert Jonsson,M,25,Sweden,SWE,1912,Summer,Shooting,"Men's Free Rifle, Three Positions, 300 metres",N
