Year,Age,Sex,Income,Records
1988,56,M,UM,2
1988,60,M,H,1
1988,63,F,H,1
1992,11,M,H,1
1992,12,F,UM,2
1992,13,F,H,10
1992,13,F,L,1
1992,13,F,LM,7
1992,13,F,UM,1
1992,14,F,H,36
1992,14,F,L,7
1992,14,F,LM,6
1992,14,F,UM,8
1992,14,M,LM,2
1992,14,M,UM,5
1992,15,F,H,66
1992,15,F,L,25
1992,15,F,LM,34
1992,15,F,UM,31
1992,15,M,L,2
1992,15,M,UM,5
1992,16,F,H,124
1992,16,F,L,12
1992,16,F,LM,54
1992,16,F,UM,24
1992,16,M,H,14
1992,16,M,L,5
1992,16,M,LM,26
1992,16,M,UM,11
1992,17,F,H,113
1992,17,F,L,43
1992,17,F,LM,62
1992,17,F,UM,41
1992,17,M,H,49
1992,17,M,L,19
1992,17,M,LM,40
1992,17,M,UM,23
1992,18,F,H,118
1992,18,F,L,22
1992,18,F,LM,53
1992,18,F,UM,31
1992,18,M,H,103
1992,18,M,L,43
1992,18,M,LM,58
1992,18,M,UM,55
1992,19,F,H,171
1992,19,F,L,41
1992,19,F,LM,54
1992,19,F,UM,58
1992,19,M,H,178
1992,19,M,L,51
1992,19,M,LM,101
1992,19,M,UM,151
1992,20,F,H,205
1992,20,F,L,45
1992,20,F,LM,46
1992,20,F,UM,46
1992,20,M,H,344
1992,20,M,L,63
1992,20,M,LM,154
1992,20,M,UM,125
1992,21,F,H,189
1992,21,F,L,49
1992,21,F,LM,74
1992,21,F,UM,59
1992,21,M,H,436
1992,21,M,L,64
1992,21,M,LM,161
1992,21,M,UM,193
1992,22,F,H,220
1992,22,F,L,39
1992,22,F,LM,63
1992,22,F,UM,53
1992,22,M,H,554
1992,22,M,L,72
1992,22,M,LM,187
1992,22,M,UM,176
1992,23,F,H,224
1992,23,F,L,39
1992,23,F,LM,66
1992,23,F,UM,48
1992,23,M,H,505
1992,23,M,L,83
1992,23,M,LM,175
1992,23,M,UM,125
1992,24,F,H,219
1992,24,F,L,22
1992,24,F,LM,34
1992,24,F,UM,26
1992,24,M,H,598
1992,24,M,L,98
1992,24,M,LM,184
1992,24,M,UM,142
1992,25,F,H,232
1992,25,F,L,18
1992,25,F,LM,49
1992,25,F,UM,27
1992,25,M,H,483
1992,25,M,L,63
1992,25,M,LM,174
1992,25,M,UM,119
1992,26,F,H,182
1992,26,F,L,17
1992,26,F,LM,24
1992,26,F,UM,33
1992,26,M,H,432
1992,26,M,L,51
1992,26,M,LM,115
1992,26,M,UM,113
1992,27,F,H,154
1992,27,F,L,15
1992,27,F,LM,28
1992,27,F,UM,25
1992,27,M,H,422
1992,27,M,L,44
1992,27,M,LM,95
1992,27,M,UM,111
1992,28,F,H,173
1992,28,F,L,12
1992,28,F,LM,30
1992,28,F,UM,10
1992,28,M,H,326
1992,28,M,L,37
1992,28,M,LM,84
1992,28,M,UM,77
1992,29,F,H,116
1992,29,F,L,8
1992,29,F,LM,18
1992,29,F,UM,8
1992,29,M,H,258
1992,29,M,L,24
